gene	chromosome	start	end	log2	ci_hi	ci_lo	depth	probes	weight
SRGAP2-AS1	chr1	103759158	145682636	-0.465721	0.0314398	-0.0458274	141.098	3	713.479
RGPD2	chr2	86917630	97181793	-3.19566	-22.3867	-23.8314	111.526	3	222.145
RGPD1	chr2	86917630	97181793	-3.19566	-22.3867	-23.8314	111.526	3	222.145
ANKRD36	chr2	91288346	106405229	-0.4189	-0.092719	-0.194922	128.985	3	426.726
ANKRD36B	chr2	97183458	106459332	-1.83196	-11.1759	-13.7985	123.314	3	279.129
RGPD3	chr2	97558798	107882873	-2.19478	0.21393	0.181677	121.065	4	283.301
RGPD4	chr2	106468216	108719678	-7.44806	0.0345975	-0.285126	79.0729	4	50.8754
GCC2	chr2	107890720	108762195	-7.07639	0.357267	0.216707	90.9854	3	37.7171
RANBP2	chr2	108495290	109848011	-11.1723	-8.86885	-13.5779	78.8065	6	66.6696
RGPD6	chr2	108771700	111862598	-9.00039	0.119962	-0.052094	79.7856	6	98.6229
RGPD5	chr2	108771700	113495743	-6.64063	0.119962	-0.052094	100.892	10	198.986
RGPD8	chr2	108771700	113495743	-6.64063	0.119962	-0.052094	100.892	10	198.986
LIMS4	chr2	109855861	111802506	-7.88433	-0.00940701	-0.688267	90.5763	3	48.3135
LIMS3-LOC440895	chr2	109855861	111802506	-7.88433	-0.00940701	-0.688267	90.5763	3	48.3135
LIMS3	chr2	109855861	111802506	-7.88433	-0.00940701	-0.688267	90.5763	3	48.3135
ANAPC1	chr2	110576952	112422659	-6.70011	0.300093	0.127721	97.6806	4	77.0425
POTEF	chr2	113499256	130656813	-0.606553	0.0620997	-0.0528705	114.99	4	293.641
POTEI	chr2	130114880	151576354	-0.308396	-0.353771	-0.593394	127.931	3	405.159
POTEJ	chr2	130463878	151608676	-0.894075	-6.81594	-9.12425	125.506	3	388.046
GTF2H2C_2	chr5	69565132	127702888	-0.384009	-26.6522	-26.8723	118.536	4	1073.39
NAIP	chr5	69592698	127702888	-0.300461	-0.66755	-0.992628	118.911	3	1070
SYNGAP1	chr6	28745393	170583747	-0.623864	-3.08132	-3.22082	101.288	3	4026.92
USP17L3	chr8	6977769	12063888	-3.54694	-12.6525	-16.2524	80.412	4	131.087
ZNF705G	chr8	6977769	7977985	-11.2736	-12.6525	-16.2524	28.3523	3	37.5962
FAM86B2	chr8	12064388	43801608	-0.535764	-15.3298	-18.2021	107.538	3	869.396
RHPN1	chr8	60865321	144238255	0.234622	0.298502	0.280313	143.875	3	1623.04
PUF60	chr8	143381571	144268142	-0.345397	-0.802341	-0.884791	118.453	3	186.329
CBWD3	chr9	39073889	136280898	-0.816876	-8.83836	-9.95216	101.726	3	2408.02
CBWD5	chr9	39073889	136280898	-0.816876	-8.83836	-9.95216	101.726	3	2408.02
PGM5	chr9	60464566	136303142	-0.616734	-8.03678	-9.03422	103.979	3	2348.91
WASHC2C	chr10	47056	50078737	-0.755053	-0.218072	-0.292323	117.509	3	1116.51
WASHC2A	chr10	45792900	133626742	-0.393839	-1.93601	-2.29643	117.978	3	2680.55
PGA3	chr11	51026129	67997799	-0.237827	-0.261198	-0.310383	124.594	3	1265.59
LTO1	chr11	67998358	71884561	0.358112	1.05331	0.992048	206.349	3	149.77
POTEB2	chr15	16936712	28238772	-2.43817	-5.8756	-7.35441	65.5141	3	174.086
POTEB	chr15	16936712	28238772	-2.43817	-5.8756	-7.35441	65.5141	3	174.086
HERC2	chr15	21872006	101923059	-0.505083	-0.862634	-1.02234	101.81	3	3140.63
PKD1	chr16	47429	4262701	0.35625	0.713239	0.675811	193.78	3	595.157
TFAP4	chr16	2119878	5078878	0.411041	0.49506	0.463867	184.263	3	357.727
ALG1	chr16	4556489	14687664	0.2621	0.495772	0.433817	169.336	3	243.028
EEF2KMT	chr16	5079063	14952025	-1.66004	-8.56601	-11.7488	146.872	3	185.197
PLA2G10	chr16	5097643	16221831	-1.66881	0.490837	0.397224	123.093	3	267.361
NOMO3	chr16	14688164	18320000	-5.52381	-14.6764	-16.6061	52.7459	4	133.597
NOMO2	chr16	16236900	18858290	-7.05385	-14.5206	-16.866	87.4772	4	61.562
PKD1P4-NPIPA8	chr16	16236900	18858290	-7.05385	-14.5206	-16.866	87.4772	4	61.562
NPIPA8	chr16	16236900	18858290	-7.05385	-14.5206	-16.866	87.4772	4	61.562
NPIPA7	chr16	16236900	18858290	-7.05385	-14.5206	-16.866	87.4772	4	61.562
SMG1	chr16	18562540	22527665	-0.99957	0.400005	0.292233	144.236	3	254.603
ARL17B	chr17	46295133	64460932	-0.577344	-8.86621	-10.2266	117.348	3	885.454
ARL17A	chr17	46295133	64460932	-0.577344	-8.86621	-10.2266	117.348	3	885.454
PECAM1	chr17	46558130	83094575	-0.221809	-0.10488	-0.139029	117.417	3	1946.78
TMEM191B	chr22	10451702	21383358	-1.26319	-0.953616	-1.41488	101.233	3	285.442
CFAP47	chrX	150500	49323277	-0.441023	-0.344848	-0.396696	113.967	6	1126.14
GAGE1	chrX	49323742	135882629	-0.211211	-6.32195	-9.38322	137.183	3	1821.57
CT45A10	chrX	135718940	154288407	-0.751246	-22.2254	-24.2584	151.991	3	475.507
PCDH11Y	chrY	2980493	9337009	-11.8145	-3.27832	-5.11998	7.09615	3	31.7672
NLGN4Y	chrY	12709447	56959891	-22.0016	-23.0155	-23.8805	0.403248	3	166.765
